,type,flagname,defaultvalue,minvalue,maxvalue
0,intx,AliasLevel,3.0,1.5,4.5
1,intx,AllocateInstancePrefetchLines,1.0,0.5,1.5
2,intx,AllocatePrefetchDistance,192.0,96.0,288.0
3,intx,AllocatePrefetchInstr,0.0,0.0,0.0
4,intx,AllocatePrefetchLines,4.0,2.0,6.0
5,intx,AllocatePrefetchStepSize,64.0,32.0,96.0
6,intx,AllocatePrefetchStyle,1.0,0.5,1.5
7,intx,Atomics,0.0,0.0,0.0
8,intx,AutoBoxCacheMax,128.0,64.0,192.0
9,intx,BCEATraceLevel,0.0,0.0,0.0
10,intx,BackEdgeThreshold,100000.0,50000.0,150000.0
11,intx,BiasedLockingBulkRebiasThreshold,20.0,10.0,30.0
12,intx,BiasedLockingBulkRevokeThreshold,40.0,20.0,60.0
13,intx,BiasedLockingDecayTime,25000.0,12500.0,37500.0
14,intx,BiasedLockingStartupDelay,4000.0,2000.0,6000.0
15,intx,BlockLayoutMinDiamondPercentage,20.0,10.0,30.0
16,intx,CICompilerCount,2.0,1.0,3.0
17,intx,CMSAbortablePrecleanWaitMillis,100.0,50.0,150.0
18,intx,CMSInitiatingOccupancyFraction,-1.0,-0.5,-1.5
19,intx,CMSInitiatingPermOccupancyFraction,-1.0,-0.5,-1.5
20,intx,CMSIsTooFullPercentage,98.0,49.0,147.0
21,intx,CMSMaxAbortablePrecleanTime,5000.0,2500.0,7500.0
22,intx,CMSTriggerPermRatio,80.0,40.0,120.0
23,intx,CMSTriggerRatio,80.0,40.0,120.0
24,intx,CMSWaitDuration,2000.0,1000.0,3000.0
25,intx,CMSYoungGenPerWorker,67108864.0,33554432.0,100663296.0
26,intx,ClearFPUAtPark,0.0,0.0,0.0
27,intx,CompilationPolicyChoice,0.0,0.0,0.0
28,intx,CompilationRepeat,0.0,0.0,0.0
29,intx,CompileThreshold,10000.0,5000.0,15000.0
30,intx,CompilerThreadPriority,-1.0,-0.5,-1.5
31,intx,CompilerThreadStackSize,0.0,0.0,0.0
32,intx,ConditionalMoveLimit,3.0,1.5,4.5
33,intx,DefaultThreadPriority,-1.0,-0.5,-1.5
34,intx,DeferPollingPageLoopCount,-1.0,-0.5,-1.5
35,intx,DeferThrSuspendLoopCount,4000.0,2000.0,6000.0
36,intx,EliminateAllocationArraySizeLimit,64.0,32.0,96.0
37,intx,EmitSync,0.0,0.0,0.0
38,intx,FenceInstruction,0.0,0.0,0.0
39,intx,FieldsAllocationStyle,1.0,0.5,1.5
40,intx,FreqInlineSize,325.0,162.5,487.5
41,intx,G1ConcRefinementGreenZone,0.0,0.0,0.0
42,intx,G1ConcRefinementRedZone,0.0,0.0,0.0
43,intx,G1ConcRefinementServiceIntervalMillis,300.0,150.0,450.0
44,intx,G1ConcRefinementThresholdStep,0.0,0.0,0.0
45,intx,G1ConcRefinementYellowZone,0.0,0.0,0.0
46,intx,G1RSetRegionEntries,0.0,0.0,0.0
47,intx,G1RSetSparseRegionEntries,0.0,0.0,0.0
48,intx,G1RSetUpdatingPauseTimePercent,10.0,5.0,15.0
49,intx,G1RefProcDrainInterval,10.0,5.0,15.0
50,intx,G1SATBBufferSize,1024.0,512.0,1536.0
51,intx,G1UpdateBufferSize,256.0,128.0,384.0
52,intx,InitialTenuringThreshold,7.0,3.5,10.5
53,intx,InlineSmallCode,1000.0,500.0,1500.0
54,intx,InteriorEntryAlignment,16.0,8.0,24.0
55,intx,InterpreterProfilePercentage,33.0,16.5,49.5
56,intx,JavaPriority10_To_OSPriority,-1.0,-0.5,-1.5
57,intx,JavaPriority1_To_OSPriority,-1.0,-0.5,-1.5
58,intx,JavaPriority2_To_OSPriority,-1.0,-0.5,-1.5
59,intx,JavaPriority3_To_OSPriority,-1.0,-0.5,-1.5
60,intx,JavaPriority4_To_OSPriority,-1.0,-0.5,-1.5
61,intx,JavaPriority5_To_OSPriority,-1.0,-0.5,-1.5
62,intx,JavaPriority6_To_OSPriority,-1.0,-0.5,-1.5
63,intx,JavaPriority7_To_OSPriority,-1.0,-0.5,-1.5
64,intx,JavaPriority8_To_OSPriority,-1.0,-0.5,-1.5
65,intx,JavaPriority9_To_OSPriority,-1.0,-0.5,-1.5
66,intx,LiveNodeCountInliningCutoff,20000.0,10000.0,30000.0
67,intx,LoopOptsCount,43.0,21.5,64.5
68,intx,LoopUnrollLimit,60.0,30.0,90.0
69,intx,LoopUnrollMin,4.0,2.0,6.0
70,intx,MarkSweepAlwaysCompactCount,4.0,2.0,6.0
71,intx,MaxBCEAEstimateLevel,5.0,2.5,7.5
72,intx,MaxBCEAEstimateSize,150.0,75.0,225.0
73,intx,MaxInlineLevel,9.0,4.5,13.5
74,intx,MaxInlineSize,35.0,17.5,52.5
75,intx,MaxJavaStackTraceDepth,1024.0,512.0,1536.0
76,intx,MaxJumpTableSize,65000.0,32500.0,97500.0
77,intx,MaxJumpTableSparseness,5.0,2.5,7.5
78,intx,MaxLabelRootDepth,1100.0,550.0,1650.0
79,intx,MaxLoopPad,11.0,5.5,16.5
80,intx,MaxNodeLimit,75000.0,37500.0,112500.0
81,intx,MaxRecursiveInlineLevel,1.0,0.5,1.5
82,intx,MaxTenuringThreshold,15.0,7.5,22.5
83,intx,MaxTrivialSize,6.0,3.0,9.0
84,intx,MaxVectorSize,32.0,16.0,48.0
85,intx,MinCodeCacheFlushingInterval,30.0,15.0,45.0
86,intx,MinInliningThreshold,250.0,125.0,375.0
87,intx,MinJumpTableSize,18.0,9.0,27.0
88,intx,MonitorBound,0.0,0.0,0.0
89,intx,MultiArrayExpandLimit,6.0,3.0,9.0
90,intx,NUMAChunkResizeWeight,20.0,10.0,30.0
91,intx,NUMAPageScanRate,256.0,128.0,384.0
92,intx,NUMASpaceResizeRate,1073741824.0,536870912.0,1610612736.0
93,intx,NativeMonitorFlags,0.0,0.0,0.0
94,intx,NativeMonitorSpinLimit,20.0,10.0,30.0
95,intx,NativeMonitorTimeout,-1.0,-0.5,-1.5
96,intx,NewRatio,2.0,1.0,3.0
97,intx,NmethodSweepCheckInterval,5.0,2.5,7.5
98,intx,NmethodSweepFraction,16.0,8.0,24.0
99,intx,NodeLimitFudgeFactor,1000.0,500.0,1500.0
100,intx,NumberOfLoopInstrToAlign,4.0,2.0,6.0
101,intx,ObjectAlignmentInBytes,8.0,4.0,12.0
102,intx,OnStackReplacePercentage,140.0,70.0,210.0
103,intx,OptoLoopAlignment,16.0,8.0,24.0
104,intx,ParGCArrayScanChunk,50.0,25.0,75.0
105,intx,ParallelGCBufferWastePct,10.0,5.0,15.0
106,intx,PartialPeelNewPhiDelta,0.0,0.0,0.0
107,intx,PerBytecodeRecompilationCutoff,200.0,100.0,300.0
108,intx,PerBytecodeTrapLimit,4.0,2.0,6.0
109,intx,PerMethodRecompilationCutoff,400.0,200.0,600.0
110,intx,PerMethodTrapLimit,100.0,50.0,150.0
111,intx,PerfDataMemorySize,32768.0,16384.0,49152.0
112,intx,PerfDataSamplingInterval,50.0,25.0,75.0
113,intx,PerfMaxStringConstLength,1024.0,512.0,1536.0
114,intx,PreInflateSpin,10.0,5.0,15.0
115,intx,PrefetchCopyIntervalInBytes,576.0,288.0,864.0
116,intx,PrefetchFieldsAhead,1.0,0.5,1.5
117,intx,PrefetchScanIntervalInBytes,576.0,288.0,864.0
118,intx,PrintCMSStatistics,0.0,0.0,0.0
119,intx,PrintFLSCensus,0.0,0.0,0.0
120,intx,PrintFLSStatistics,0.0,0.0,0.0
121,intx,PrintSafepointStatisticsCount,300.0,150.0,450.0
122,intx,PrintSafepointStatisticsTimeout,-1.0,-0.5,-1.5
123,intx,ProfileIntervalsTicks,100.0,50.0,150.0
124,intx,ProfileMaturityPercentage,20.0,10.0,30.0
125,intx,QueuedAllocationWarningCount,0.0,0.0,0.0
126,intx,ReadPrefetchInstr,0.0,0.0,0.0
127,intx,RefDiscoveryPolicy,0.0,0.0,0.0
128,intx,SafepointPollOffset,256.0,128.0,384.0
129,intx,SafepointSpinBeforeYield,2000.0,1000.0,3000.0
130,intx,SafepointTimeoutDelay,10000.0,5000.0,15000.0
131,intx,SelfDestructTimer,0.0,0.0,0.0
132,intx,SoftRefLRUPolicyMSPerMB,1000.0,500.0,1500.0
133,intx,StackRedPages,1.0,0.5,1.5
134,intx,StackShadowPages,20.0,10.0,30.0
135,intx,StackYellowPages,2.0,1.0,3.0
136,intx,StarvationMonitorInterval,200.0,100.0,300.0
137,intx,SurvivorRatio,8.0,4.0,12.0
138,intx,SuspendRetryCount,50.0,25.0,75.0
139,intx,SuspendRetryDelay,5.0,2.5,7.5
140,intx,SyncFlags,0.0,0.0,0.0
141,intx,SyncVerbose,0.0,0.0,0.0
142,intx,TargetPLABWastePct,10.0,5.0,15.0
143,intx,TargetSurvivorRatio,50.0,25.0,75.0
144,intx,ThreadPriorityPolicy,0.0,0.0,0.0
145,intx,ThreadStackSize,1024.0,512.0,1536.0
146,intx,Tier0BackedgeNotifyFreqLog,10.0,5.0,15.0
147,intx,Tier0InvokeNotifyFreqLog,7.0,3.5,10.5
148,intx,Tier0ProfilingStartPercentage,200.0,100.0,300.0
149,intx,Tier23InlineeNotifyFreqLog,20.0,10.0,30.0
150,intx,Tier2BackEdgeThreshold,0.0,0.0,0.0
151,intx,Tier2BackedgeNotifyFreqLog,14.0,7.0,21.0
152,intx,Tier2CompileThreshold,0.0,0.0,0.0
153,intx,Tier2InvokeNotifyFreqLog,11.0,5.5,16.5
154,intx,Tier3BackEdgeThreshold,60000.0,30000.0,90000.0
155,intx,Tier3BackedgeNotifyFreqLog,13.0,6.5,19.5
156,intx,Tier3CompileThreshold,2000.0,1000.0,3000.0
157,intx,Tier3DelayOff,2.0,1.0,3.0
158,intx,Tier3DelayOn,5.0,2.5,7.5
159,intx,Tier3InvocationThreshold,200.0,100.0,300.0
160,intx,Tier3InvokeNotifyFreqLog,10.0,5.0,15.0
161,intx,Tier3LoadFeedback,5.0,2.5,7.5
162,intx,Tier3MinInvocationThreshold,100.0,50.0,150.0
163,intx,Tier4BackEdgeThreshold,40000.0,20000.0,60000.0
164,intx,Tier4CompileThreshold,15000.0,7500.0,22500.0
165,intx,Tier4InvocationThreshold,5000.0,2500.0,7500.0
166,intx,Tier4LoadFeedback,3.0,1.5,4.5
167,intx,Tier4MinInvocationThreshold,600.0,300.0,900.0
168,intx,TieredCompileTaskTimeout,50.0,25.0,75.0
169,intx,TieredRateUpdateMaxTime,25.0,12.5,37.5
170,intx,TieredRateUpdateMinTime,1.0,0.5,1.5
171,intx,TieredStopAtLevel,4.0,2.0,6.0
172,intx,TraceRedefineClasses,0.0,0.0,0.0
173,intx,TrackedInitializationLimit,50.0,25.0,75.0
174,intx,TypeProfileMajorReceiverPercent,90.0,45.0,135.0
175,intx,TypeProfileWidth,2.0,1.0,3.0
176,intx,UnguardOnExecutionViolation,0.0,0.0,0.0
177,intx,UseAVX,1.0,0.5,1.5
178,intx,UseSSE,4.0,2.0,6.0
179,intx,VMThreadPriority,-1.0,-0.5,-1.5
180,intx,VMThreadStackSize,1024.0,512.0,1536.0
181,intx,ValueMapInitialSize,11.0,5.5,16.5
182,intx,ValueMapMaxLoopSize,8.0,4.0,12.0
183,intx,ValueSearchLimit,1000.0,500.0,1500.0
184,intx,WorkAroundNPTLTimedWaitHang,1.0,0.5,1.5
185,intx,hashCode,0.0,0.0,0.0
186,uintx,AdaptivePermSizeWeight,20.0,10.0,30.0
187,uintx,AdaptiveSizeDecrementScaleFactor,4.0,2.0,6.0
188,uintx,AdaptiveSizeMajorGCDecayTimeScale,10.0,5.0,15.0
189,uintx,AdaptiveSizePausePolicy,0.0,0.0,0.0
190,uintx,AdaptiveSizePolicyCollectionCostMargin,50.0,25.0,75.0
191,uintx,AdaptiveSizePolicyInitializingSteps,20.0,10.0,30.0
192,uintx,AdaptiveSizePolicyOutputInterval,0.0,0.0,0.0
193,uintx,AdaptiveSizePolicyWeight,10.0,5.0,15.0
194,uintx,AdaptiveSizeThroughPutPolicy,0.0,0.0,0.0
195,uintx,AdaptiveTimeWeight,25.0,12.5,37.5
196,uintx,AutoGCSelectPauseMillis,5000.0,2500.0,7500.0
197,uintx,BaseFootPrintEstimate,268435456.0,134217728.0,402653184.0
198,uintx,CMSAbortablePrecleanMinWorkPerIteration,100.0,50.0,150.0
199,uintx,CMSBitMapYieldQuantum,10485760.0,5242880.0,15728640.0
200,uintx,CMSBootstrapOccupancy,50.0,25.0,75.0
201,uintx,CMSClassUnloadingMaxInterval,0.0,0.0,0.0
202,uintx,CMSConcMarkMultiple,32.0,16.0,48.0
203,uintx,CMSCoordinatorYieldSleepCount,10.0,5.0,15.0
204,uintx,CMSExpAvgFactor,50.0,25.0,75.0
205,uintx,CMSFullGCsBeforeCompaction,0.0,0.0,0.0
206,uintx,CMSIncrementalDutyCycle,10.0,5.0,15.0
207,uintx,CMSIncrementalDutyCycleMin,0.0,0.0,0.0
208,uintx,CMSIncrementalOffset,0.0,0.0,0.0
209,uintx,CMSIncrementalSafetyFactor,10.0,5.0,15.0
210,uintx,CMSIndexedFreeListReplenish,4.0,2.0,6.0
211,uintx,CMSMaxAbortablePrecleanLoops,0.0,0.0,0.0
212,uintx,CMSOldPLABMax,1024.0,512.0,1536.0
213,uintx,CMSOldPLABMin,16.0,8.0,24.0
214,uintx,CMSOldPLABNumRefills,4.0,2.0,6.0
215,uintx,CMSOldPLABReactivityFactor,2.0,1.0,3.0
216,uintx,CMSOldPLABToleranceFactor,4.0,2.0,6.0
217,uintx,CMSParPromoteBlocksToClaim,16.0,8.0,24.0
218,uintx,CMSPrecleanDenominator,3.0,1.5,4.5
219,uintx,CMSPrecleanIter,3.0,1.5,4.5
220,uintx,CMSPrecleanNumerator,2.0,1.0,3.0
221,uintx,CMSPrecleanThreshold,1000.0,500.0,1500.0
222,uintx,CMSRemarkVerifyVariant,1.0,0.5,1.5
223,uintx,CMSRescanMultiple,32.0,16.0,48.0
224,uintx,CMSRevisitStackSize,1048576.0,524288.0,1572864.0
225,uintx,CMSSamplingGrain,16384.0,8192.0,24576.0
226,uintx,CMSScheduleRemarkEdenPenetration,50.0,25.0,75.0
227,uintx,CMSScheduleRemarkEdenSizeThreshold,2097152.0,1048576.0,3145728.0
228,uintx,CMSScheduleRemarkSamplingRatio,5.0,2.5,7.5
229,uintx,CMSWorkQueueDrainThreshold,10.0,5.0,15.0
230,uintx,CMSYieldSleepCount,0.0,0.0,0.0
231,uintx,CMS_FLSPadding,1.0,0.5,1.5
232,uintx,CMS_FLSWeight,75.0,37.5,112.5
233,uintx,CMS_SweepPadding,1.0,0.5,1.5
234,uintx,CMS_SweepTimerThresholdMillis,10.0,5.0,15.0
235,uintx,CMS_SweepWeight,75.0,37.5,112.5
236,uintx,CodeCacheExpansionSize,65536.0,32768.0,98304.0
237,uintx,CodeCacheFlushingMinimumFreeSpace,1536000.0,768000.0,2304000.0
238,uintx,CodeCacheMinimumFreeSpace,512000.0,256000.0,768000.0
239,uintx,ConcGCThreads,0.0,0.0,0.0
240,uintx,DefaultMaxRAMFraction,4.0,2.0,6.0
241,uintx,ErgoHeapSizeLimit,0.0,0.0,0.0
242,uintx,FLSCoalescePolicy,2.0,1.0,3.0
243,uintx,G1ConcRSHotCardLimit,4.0,2.0,6.0
244,uintx,G1ConcRSLogCacheSize,10.0,5.0,15.0
245,uintx,G1ConcRefinementThreads,0.0,0.0,0.0
246,uintx,G1ConfidencePercent,50.0,25.0,75.0
247,uintx,G1HeapRegionSize,0.0,0.0,0.0
248,uintx,G1HeapWastePercent,10.0,5.0,15.0
249,uintx,G1MixedGCCountTarget,8.0,4.0,12.0
250,uintx,G1RSetScanBlockSize,64.0,32.0,96.0
251,uintx,G1ReservePercent,10.0,5.0,15.0
252,uintx,G1SATBBufferEnqueueingThresholdPercent,60.0,30.0,90.0
253,uintx,GCDrainStackTargetSize,64.0,32.0,96.0
254,uintx,GCHeapFreeLimit,2.0,1.0,3.0
255,uintx,GCLockerEdenExpansionPercent,5.0,2.5,7.5
256,uintx,GCLogFileSize,0.0,0.0,0.0
257,uintx,GCPauseIntervalMillis,0.0,0.0,0.0
258,uintx,GCTaskTimeStampEntries,200.0,100.0,300.0
259,uintx,GCTimeLimit,98.0,49.0,147.0
260,uintx,GCTimeRatio,99.0,49.5,148.5
261,uintx,HeapBaseMinAddress,2147483648.0,1073741824.0,3221225472.0
262,uintx,HeapFirstMaximumCompactionCount,3.0,1.5,4.5
263,uintx,HeapMaximumCompactionInterval,20.0,10.0,30.0
264,uintx,HeapSizePerGCThread,87241520.0,43620760.0,130862280.0
265,uintx,InitialCodeCacheSize,2555904.0,1277952.0,3833856.0
266,uintx,InitialHeapSize,94440960.0,47220480.0,141661440.0
267,uintx,InitialRAMFraction,64.0,32.0,96.0
268,uintx,InitialSurvivorRatio,8.0,4.0,12.0
269,uintx,InitiatingHeapOccupancyPercent,45.0,22.5,67.5
270,uintx,LargePageHeapSizeThreshold,134217728.0,67108864.0,201326592.0
271,uintx,LargePageSizeInBytes,0.0,0.0,0.0
272,uintx,MarkStackSize,4194304.0,2097152.0,6291456.0
273,uintx,MarkStackSizeMax,536870912.0,268435456.0,805306368.0
274,uintx,MarkSweepDeadRatio,1.0,0.5,1.5
275,uintx,MaxDirectMemorySize,0.0,0.0,0.0
276,uintx,MaxGCMinorPauseMillis,1.8446744073709552e+19,9.223372036854776e+18,2.7670116110564327e+19
277,uintx,MaxGCPauseMillis,1.8446744073709552e+19,9.223372036854776e+18,2.7670116110564327e+19
278,uintx,MaxHeapFreeRatio,70.0,35.0,105.0
279,uintx,MaxHeapSize,1512046592.0,756023296.0,2268069888.0
280,uintx,MaxNewSize,1.8446744073709486e+19,9.223372036854743e+18,2.767011611056423e+19
281,uintx,MaxPermHeapExpansion,5439488.0,2719744.0,8159232.0
282,uintx,MaxPermSize,174063616.0,87031808.0,261095424.0
283,uintx,MaxRAMFraction,4.0,2.0,6.0
284,uintx,MinHeapDeltaBytes,196608.0,98304.0,294912.0
285,uintx,MinHeapFreeRatio,40.0,20.0,60.0
286,uintx,MinPermHeapExpansion,327680.0,163840.0,491520.0
287,uintx,MinRAMFraction,2.0,1.0,3.0
288,uintx,MinSurvivorRatio,3.0,1.5,4.5
289,uintx,MinTLABSize,2048.0,1024.0,3072.0
290,uintx,NUMAInterleaveGranularity,2097152.0,1048576.0,3145728.0
291,uintx,NewSize,1310720.0,655360.0,1966080.0
292,uintx,NewSizeThreadIncrease,5320.0,2660.0,7980.0
293,uintx,NumberOfGCLogFiles,0.0,0.0,0.0
294,uintx,OldPLABSize,1024.0,512.0,1536.0
295,uintx,OldPLABWeight,50.0,25.0,75.0
296,uintx,OldSize,5439488.0,2719744.0,8159232.0
297,uintx,PLABWeight,75.0,37.5,112.5
298,uintx,ParGCDesiredObjsFromOverflowList,20.0,10.0,30.0
299,uintx,ParallelGCThreads,4.0,2.0,6.0
300,uintx,ParallelOldDeadWoodLimiterMean,50.0,25.0,75.0
301,uintx,ParallelOldDeadWoodLimiterStdDev,80.0,40.0,120.0
302,uintx,PausePadding,1.0,0.5,1.5
303,uintx,PermGenPadding,3.0,1.5,4.5
304,uintx,PermMarkSweepDeadRatio,5.0,2.5,7.5
305,uintx,PermSize,21757952.0,10878976.0,32636928.0
306,uintx,PretenureSizeThreshold,0.0,0.0,0.0
307,uintx,ProcessDistributionStride,4.0,2.0,6.0
308,uintx,PromotedPadding,3.0,1.5,4.5
309,uintx,ReservedCodeCacheSize,50331648.0,25165824.0,75497472.0
310,uintx,SharedDummyBlockSize,536870912.0,268435456.0,805306368.0
311,uintx,SharedMiscCodeSize,4194304.0,2097152.0,6291456.0
312,uintx,SharedMiscDataSize,6291456.0,3145728.0,9437184.0
313,uintx,SharedReadOnlySize,10485760.0,5242880.0,15728640.0
314,uintx,SharedReadWriteSize,14680064.0,7340032.0,22020096.0
315,uintx,StringTableSize,60013.0,30006.5,90019.5
316,uintx,SurvivorPadding,3.0,1.5,4.5
317,uintx,TLABAllocationWeight,35.0,17.5,52.5
318,uintx,TLABRefillWasteFraction,64.0,32.0,96.0
319,uintx,TLABSize,0.0,0.0,0.0
320,uintx,TLABWasteIncrement,4.0,2.0,6.0
321,uintx,TLABWasteTargetPercent,1.0,0.5,1.5
322,uintx,TenuredGenerationSizeIncrement,20.0,10.0,30.0
323,uintx,TenuredGenerationSizeSupplement,80.0,40.0,120.0
324,uintx,TenuredGenerationSizeSupplementDecay,2.0,1.0,3.0
325,uintx,ThreadSafetyMargin,52428800.0,26214400.0,78643200.0
326,uintx,ThresholdTolerance,10.0,5.0,15.0
327,uintx,YoungGenerationSizeIncrement,20.0,10.0,30.0
328,uintx,YoungGenerationSizeSupplement,80.0,40.0,120.0
329,uintx,YoungGenerationSizeSupplementDecay,8.0,4.0,12.0
330,uintx,YoungPLABSize,4096.0,2048.0,6144.0
